instancia_id,token_id,token,punt_inicial,punt_final,capitalización,es_inicio_instancia,es_fin_instancia,es_primer_token,es_ultimo_token,i_punt_inicial,i_punt_final,dim_red_0,dim_red_1,dim_red_2,dim_red_3,dim_red_4,dim_red_5,dim_red_6,dim_red_7,dim_red_8,dim_red_9,dim_red_10,dim_red_11,dim_red_12,dim_red_13,dim_red_14
3,12368,cuando,,,1,1,0,1,1,0,0,0.65343606,5.9274454,1.4160593,3.2895453,6.3585405,0.9691183,7.175224,8.654427,-0.22624388,-0.4496008,5.915179,8.384629,2.2790282,4.7800503,4.6044545
3,14572,hag,,,0,0,0,1,0,0,0,0.77574515,3.264755,3.8642318,1.0548257,2.1132572,6.468929,0.63108927,-0.037695754,2.4115458,1.6479509,10.041743,8.188174,5.2151875,2.788389,-1.0952893
3,10133,##o,,,0,0,0,0,1,0,0,3.9478834,5.1517363,7.445698,6.0847764,4.521763,7.483122,1.5354497,8.72339,3.1563833,4.543269,9.981028,9.870707,10.448525,0.7014875,6.9741364
3,10109,la,,,0,0,0,1,1,0,0,8.37305,6.287866,6.083426,1.6608514,1.37437,8.4994335,6.2224836,9.206873,10.146234,3.2012732,4.6667485,7.8815055,4.7406516,4.5659394,-0.24808182
3,104950,pregunta,,,0,0,0,1,1,0,0,2.1991239,4.9248624,5.211089,7.1363163,4.00642,5.586327,4.7429094,2.5898478,4.5864525,4.458725,5.3070827,5.364982,5.6534214,2.390553,6.0259347
3,193,y,,,0,0,0,1,1,0,0,4.4667,5.8139424,6.917468,-0.864849,10.546542,1.9995103,-0.41251248,-1.9194778,5.002377,5.9088736,4.4267926,1.5560334,1.5364292,1.9770983,3.6587179
3,10212,com,,,0,0,0,1,0,0,0,9.911173,10.555512,9.111648,4.4105215,10.859389,4.0294337,5.612459,1.6830965,5.6168575,3.173785,2.2644618,5.7914176,2.418379,3.49724,6.792656
3,58775,##paro,,,0,0,0,0,1,0,0,2.2510219,2.3781805,9.823184,0.48932296,8.673532,8.760161,5.200065,0.06391754,1.6237688,6.847167,4.4815717,3.7742758,3.7834682,-1.4583764,5.0896306
3,10285,las,,,0,0,0,1,1,0,0,4.8647323,3.5160675,7.2895555,11.022735,6.842219,0.99734354,7.9541297,2.33082,-0.77749586,2.017522,6.0219393,0.7954356,7.924861,0.2349732,8.270145
3,10398,dos,,,0,0,0,1,1,0,0,1.9420682,9.512727,5.167412,5.7245374,9.155403,6.444173,5.4479156,9.863629,8.781587,9.027145,0.47019655,-0.7812039,5.284151,4.461479,6.889056
3,97596,fechas,,,0,0,0,1,1,0,0,2.3211396,6.551222,6.3220286,8.468329,4.456227,7.6121244,3.699196,7.0738482,6.5900965,3.140598,6.0565495,6.654029,3.0970855,3.230622,6.4405103
3,10121,que,,,0,0,0,1,1,0,0,1.3514699,10.266882,7.2689085,3.1000786,8.4624605,-1.4199133,4.022969,1.2815541,5.245982,2.6830184,-2.9059443,7.8835454,6.986064,4.4023504,4.0605683
3,10110,en,,,0,0,0,1,0,0,0,6.683834,8.501486,7.556802,5.331607,12.484205,5.539627,4.435609,9.7079315,8.496102,5.666707,7.2498446,5.2943134,6.9747663,5.6798267,1.3631963
3,10425,##ca,,,0,0,0,0,0,0,0,-0.17509663,2.3415735,4.4756775,4.0119276,7.0699368,1.7735039,4.506176,1.0621141,4.1374993,3.642124,9.823383,4.733682,4.9142423,5.4156594,5.3570137
3,11044,##be,,,0,0,0,0,0,0,0,3.4571815,-0.3797421,10.445897,10.269309,7.057546,9.514468,1.2348741,4.6993895,3.1337042,7.2472935,4.2764215,4.1176476,3.5567815,7.5601406,7.8463864
3,23232,##zan,,,0,0,0,0,1,0,0,2.9981015,0.29143164,2.307483,2.2395067,10.572079,3.8682296,3.766337,2.4718363,5.592535,3.8697453,3.1663833,5.479802,4.6247234,7.104002,4.5606284
3,10547,este,,,0,0,0,1,1,0,0,2.1883557,10.118632,2.3775294,10.105727,3.6985624,-0.7863635,10.505952,0.9598546,8.962442,6.024551,5.517631,6.377972,6.0158653,7.087947,2.3284128
3,41249,artículo,,",",0,0,0,1,1,0,4,2.3784945,5.0737243,4.378847,7.999207,4.0374403,5.989583,3.946188,3.1727235,4.9600096,4.17192,4.809484,4.8317814,5.8197947,1.9713782,5.955157
3,81886,acu,,,0,0,0,1,0,0,0,5.8991594,1.4143044,2.1358552,6.8246937,4.034757,2.0695026,7.4599633,3.0123785,11.373741,2.518942,9.08078,7.3957314,0.47999543,1.0538063,8.736952
3,10633,##den,,,0,0,0,0,1,0,0,3.9527838,0.02550003,4.491443,4.9130883,8.655436,6.329578,6.140583,4.988383,4.4399576,2.0834908,6.221994,3.2543106,2.3278568,5.174357,5.3912516
3,169,a,,,0,0,0,1,1,0,0,-1.6067972,6.589026,5.9891787,7.12883,6.890318,11.320528,7.73428,-2.9178116,5.069433,1.1409997,3.2954392,4.765216,3.3964763,8.8471775,3.1391056
3,12132,mi,,,0,0,0,1,1,0,0,1.3434258,4.63975,3.9719982,-0.39793617,-1.7659911,6.9552646,2.915432,3.7585013,11.207106,5.2963896,5.405693,8.559532,6.577417,7.874825,7.6994367
3,29071,mente,,,0,0,0,1,1,0,0,3.3290348,5.128605,4.803839,8.1384115,5.017564,5.696424,4.325473,3.7540941,5.163018,4.2814946,4.3262534,4.578795,5.379028,2.5867763,5.302227
3,10106,in,,,0,0,0,1,0,0,0,3.8703804,-0.24342592,7.2123203,5.1123724,1.6419723,8.406893,1.3159802,7.060923,5.9548664,4.3308516,2.970198,2.1714325,10.252792,6.488765,1.6115544
3,46607,##fini,,,0,0,0,0,0,0,0,6.026304,0.4472204,3.5229323,5.7106867,7.5536194,3.6893258,2.657045,1.0820785,2.041469,3.1248682,4.025884,1.9225352,4.661628,2.9198985,5.557351
3,13318,##tos,,,0,0,0,0,1,0,0,5.9971323,-1.7239239,6.278883,1.2088876,8.515165,5.6035676,3.7301512,1.8560632,8.024044,6.902239,5.921995,7.6536293,4.409104,10.00907,1.0919292
3,11639,re,,,0,0,0,1,0,0,0,7.7204537,1.7407829,2.4310415,9.501587,5.754828,-2.7483592,4.6225715,1.8185779,2.4773057,-1.7120535,1.7702955,3.7567754,1.5562396,5.395056,6.494671
3,84149,##cuerdo,,,0,0,0,0,0,0,0,5.3510914,-0.39834705,3.8874552,7.2991366,7.1875334,5.519015,6.0308037,5.5349245,1.5968252,4.9721065,5.7295856,4.305588,9.550178,3.8375192,2.1791162
3,10107,##s,,,0,0,0,0,1,0,0,2.910161,4.4905396,4.2781,4.643767,5.2472444,4.690014,7.2232037,3.2401953,13.272093,4.1240964,3.975545,-0.47185457,6.4827805,9.38416,8.152938
3,10104,de,,,0,0,0,1,1,0,0,10.816588,0.8095938,7.8480186,7.025188,4.1010337,1.9878637,10.129787,1.1231397,7.512405,7.3720965,7.886134,3.2415063,4.0579805,4.410167,5.152421
3,55824,hechos,,,0,0,0,1,1,0,0,2.9616103,4.7241535,5.168972,6.3175726,4.7243066,5.172624,5.529294,3.279875,4.679114,3.9624162,5.2759633,4.450197,4.82426,2.2632525,5.346821
3,10121,que,,,0,0,0,1,1,0,0,1.3422865,10.312358,7.2391944,3.1101873,8.438826,-1.3788561,4.048153,1.2269981,5.156616,2.6402407,-2.997382,7.871174,6.980616,4.4146447,4.092859
3,10261,he,,,0,0,0,1,1,0,0,0.08087053,5.8775296,3.0183089,1.3026205,2.6757896,5.7586412,-0.46587497,-0.84411275,7.5011888,2.1170042,6.800218,11.69753,4.548245,4.7243757,3.8409765
3,27111,presencia,,,0,0,0,1,0,0,0,2.4899166,5.0610948,4.304122,7.9530454,4.062594,5.88009,4.0047665,3.0560775,4.9344254,4.1023574,4.844812,5.0601034,5.8022127,2.4181955,5.7293034
3,10317,##do,,,0,0,0,0,1,0,0,5.916503,3.6027453,6.1098475,-1.5396432,4.1709075,1.1187942,0.73450536,4.780354,-1.9568644,5.3048525,5.14624,6.356769,6.548451,4.3166685,5.101934
3,10110,en,,,0,0,0,1,1,0,0,6.678446,8.4383135,7.5156016,5.3284903,12.516555,5.446623,4.3756685,9.776022,8.5315485,5.6049113,7.2723393,5.3079257,7.03435,5.771833,1.3740942
3,10125,el,,,0,0,0,1,1,0,0,-0.23899172,12.301972,2.945699,6.723547,12.374476,4.991642,6.819904,5.962618,2.35855,3.5466754,5.981324,11.447265,5.663849,5.4824095,6.4588675
3,28743,espacio,,,0,0,0,1,1,0,0,2.3367243,5.0630693,4.5087595,7.910388,4.0036592,5.936457,4.0449004,2.9842606,4.903519,4.0816793,4.832886,4.8194675,5.8856726,2.0147667,5.8509445
3,10104,de,,,0,0,0,1,1,0,0,10.953811,0.90554005,7.863192,6.898234,4.149266,1.9254875,10.169551,1.0802608,7.483846,7.3330197,7.939498,3.2845626,3.9378955,4.545952,5.0865417
3,88531,cincuenta,,,0,0,0,1,1,0,0,1.8318331,5.431091,4.3138547,8.390761,4.1249747,6.507546,3.6274989,3.9845052,4.951045,4.75384,4.6363597,4.4277554,5.5637956,0.5907106,6.024346
3,11278,años,,,0,0,0,1,1,0,0,1.1260173,1.4662185,2.1770678,7.985863,7.846338,7.099052,2.4737427,7.7546062,3.012988,3.5396075,5.15759,7.264006,6.723374,5.712854,6.2061176
3,193,y,,,0,0,0,1,1,0,0,4.415311,5.7924895,7.052866,-0.94725525,10.434476,1.9674345,-0.44161513,-1.8994329,4.9909196,5.9115405,4.444118,1.5447514,1.4511497,2.0501828,3.6063354
3,26044,ven,,,0,0,0,1,0,0,0,3.277167,4.7902513,3.7824829,6.9410033,-0.10472815,2.8557322,7.140153,7.1873913,3.3335419,6.295589,5.524748,3.2400954,1.0602578,7.173185,-3.5838814
3,10797,##go,,,0,0,0,0,1,0,0,3.5130806,-0.2528481,5.387301,4.691978,8.437811,5.545342,5.908895,5.3077793,4.8065863,2.438293,5.628269,4.033616,3.105776,5.711961,4.7232127
3,169,a,,,0,0,0,1,1,0,0,-1.6258181,6.5641966,6.0044966,7.140481,6.8654866,11.318909,7.7801194,-2.9222114,5.0298557,1.1762326,3.27801,4.7455173,3.3546472,8.848483,3.1824167
3,12923,dar,,,0,0,0,1,1,0,0,3.8088968,0.21161857,4.2374706,4.9426255,8.880978,6.8241196,6.1852393,5.050359,4.3483906,1.8333472,6.7166066,3.0468323,1.9194756,5.263191,5.5208616
3,10110,en,,,0,0,0,1,1,0,0,6.7220154,8.448594,7.447508,5.4375205,12.46756,5.406196,4.4169497,9.775491,8.428345,5.594946,7.331338,5.2707353,6.9732985,5.7167187,1.3354656
3,10109,la,,,0,0,0,1,1,0,0,8.341131,6.340698,6.014728,1.7099423,1.4424437,8.49238,6.1768517,9.321018,10.055925,3.1466687,4.702575,7.986992,4.847563,4.5018845,-0.38726696
3,11531,sem,,,0,0,0,1,0,0,0,10.841429,0.8791844,7.8717213,7.0108523,4.163892,1.9809445,10.154956,1.0164927,7.502471,7.2945204,7.82665,3.3091395,3.974775,4.4831085,5.1105
3,45937,##pite,,,0,0,0,0,0,0,0,1.7799683,0.5126729,2.913216,2.26203,9.864157,2.7786055,4.3954573,2.9832664,7.1992273,3.2273881,3.2298255,5.1512666,5.039546,7.0063305,5.4330306
3,13471,##rna,,,0,0,0,0,1,0,0,1.6697395,-0.34005216,3.8600457,1.3889284,10.884566,2.009891,3.5269806,3.1975763,7.0294757,3.385002,2.5503044,5.5600424,5.0219226,7.5343475,4.992317
3,67763,cuestión,,,0,0,0,1,1,0,0,2.6786115,5.1725245,4.3706765,7.757754,4.04866,5.9216213,3.9261727,3.0322595,4.8738995,4.160334,4.865938,5.1044493,5.5427723,2.580904,6.0205994
3,10121,que,,",",0,0,0,1,1,0,4,1.44486,10.233018,7.304763,3.030454,8.357103,-1.3297296,4.018926,1.2751971,5.2337375,2.5561194,-2.8479886,7.8813076,7.0269346,4.389612,4.0553985
3,14364,bajo,,,0,0,0,1,1,0,0,1.5047566,5.3966446,3.951305,8.389676,3.903418,6.8958416,3.776153,3.6097581,4.586491,4.0490637,4.9169908,4.3434086,5.4831414,1.4477059,6.2198267
3,78848,distinta,,,0,0,0,1,1,0,0,2.3592246,5.27579,3.9627085,7.9121914,3.9011767,6.764097,3.9467015,3.6797822,4.6186633,4.4847093,4.9466696,3.91015,5.298558,1.4210433,6.218035
3,11041,forma,,",",0,0,0,1,1,0,4,5.131341,5.4324217,6.056141,7.0446615,3.3695242,4.035952,6.511213,3.8029945,2.4941654,1.9958487,4.9507,6.76813,3.894724,1.7322637,7.3662944
3,11559,está,,,0,0,0,1,1,0,0,4.044085,4.306225,5.1272187,6.499315,5.647687,4.226267,6.8167357,3.6727602,5.451912,4.582104,4.39442,3.209766,4.1920657,1.9681578,5.354443
3,37668,plante,,,0,0,0,1,0,0,0,1.5368719,5.399847,3.9721344,8.388861,3.9062164,6.9026103,3.7986176,3.6266816,4.624549,4.0649858,4.946491,4.3169327,5.49343,1.4263796,6.2197237
3,21243,##ándose,,,0,0,0,0,1,0,0,-2.0319958,-0.028452396,1.6551408,4.570882,5.7038126,7.7697735,7.7082257,-0.28414258,1.7244462,6.837989,4.9230204,4.552098,2.081518,1.4635656,4.128021
3,11392,desde,,,0,0,0,1,1,0,0,8.691293,8.733754,10.630269,3.8023343,8.485866,1.9955195,7.349755,2.8340364,4.117183,-0.7730504,8.3168,3.021073,3.1060925,4.996036,6.432262
3,14104,tiempo,,,0,0,0,1,1,0,0,2.0727255,6.730337,6.517745,8.290701,4.2461104,7.76363,3.4740384,7.18347,6.7215543,2.9074247,5.772905,6.890656,2.9503853,3.4958665,6.594238
3,10106,in,,,0,0,0,1,0,0,0,3.8773603,-0.237123,7.208072,5.1184816,1.6369683,8.394017,1.3225412,7.0633454,5.9430456,4.316196,2.9573796,2.187679,10.239126,6.4714475,1.6280252
3,60503,##mem,,,0,0,0,0,0,0,0,1.699214,-0.090340726,3.8976548,1.5133455,10.765542,2.5308046,3.352215,3.0724015,7.085404,3.2401073,2.338648,5.341004,4.7469754,7.4005923,5.116033
3,79338,##orial,,,0,0,0,0,1,0,0,3.5602226,5.585437,7.8274612,2.7985988,2.8470404,3.470319,5.9326415,2.311972,3.4670262,-0.28787893,0.60380477,7.2767973,6.741336,5.356242,6.737189
3,193,y,,,0,0,0,1,1,0,0,4.484094,5.838083,6.9647493,-0.91967785,10.507531,1.9721766,-0.40285406,-1.958239,4.9272776,5.8528357,4.414519,1.5023104,1.4890025,1.9502175,3.6361
3,10121,que,,,0,0,0,1,1,0,0,1.4785285,10.325036,7.3370376,2.9667675,8.449642,-1.3496089,4.022362,1.2291714,5.207422,2.6305273,-2.9325056,7.8363385,7.133052,4.41699,3.9767106
3,10173,con,,,0,0,0,1,1,0,0,3.457967,4.7047434,3.5298204,7.0958858,-0.28340355,2.6951015,7.376989,7.203697,3.1887264,6.245709,5.4421577,3.386305,0.80778253,7.1055036,-3.7875817
3,19109,relación,,,0,0,0,1,1,0,0,2.3475955,4.9656563,4.716922,7.4591956,3.8296463,5.6588593,4.207753,2.6107287,4.834133,4.341817,5.074717,5.455157,5.802045,2.5948527,6.0741653
3,169,a,,,0,0,0,1,1,0,0,-1.6094576,6.6125226,5.9954367,7.1228004,6.922174,11.286713,7.793895,-2.8904374,5.069937,1.097345,3.35469,4.772444,3.3174727,8.878477,3.0920787
3,41765,puerto,,,1,0,0,1,1,0,0,1.5704677,5.41811,3.958825,8.387137,3.915931,6.888619,3.7658365,3.600072,4.6326995,4.0622935,4.938418,4.3267984,5.5239553,1.4652746,6.214723
3,87069,rico,,,1,0,0,1,1,0,0,2.6705754,5.249694,3.9383166,8.261477,3.8500588,6.8527226,3.8036666,4.6443434,4.5671186,4.5874352,4.939133,4.64854,4.597954,2.1385734,6.2590837
3,10126,se,,,0,0,0,1,1,0,0,3.5941534,10.68138,7.464256,5.951087,-1.44089,2.96758,3.014816,3.3321347,1.4985511,2.4316845,3.6876986,6.421676,0.17142634,1.5869875,8.705661
3,29888,reduce,,,0,0,0,1,1,0,0,2.8067498,5.090593,4.696286,7.5195966,4.233619,5.7415986,4.572512,3.1274474,4.877227,4.1352863,4.80942,4.7100697,5.4010916,2.3192987,5.66445
3,169,a,,,0,0,0,1,1,0,0,-1.571124,6.624823,5.942267,7.127345,7.0232697,11.282658,7.787573,-2.8360748,5.0716085,1.1186924,3.4255438,4.865976,3.295918,8.91939,3.1056387
3,15122,aver,,,0,0,0,1,0,0,0,3.913681,5.5856314,5.616534,6.607611,4.1203127,5.070312,6.8124757,3.3972147,4.4650717,3.0825598,4.9815483,3.9785345,4.497135,2.5554485,4.4387226
3,104915,##igua,,,0,0,0,0,0,0,0,2.1063535,5.235165,4.0628657,8.328174,4.3084364,6.7905617,4.063351,4.2419977,4.7975187,4.3375444,4.71021,4.355819,5.120896,1.5267444,5.7713695
3,10129,##r,,,0,0,0,0,1,0,0,4.477051,1.1704805,6.7589297,3.2683275,8.128606,3.6479673,0.0055839047,5.4319043,0.85659087,5.3373275,2.3539488,5.315017,6.7059493,6.036333,6.8387117
3,10294,si,,,0,0,0,1,1,0,0,-0.48476034,7.8609347,4.4703426,-2.453346,-1.6733142,3.8080392,3.8551702,0.10662616,4.1885214,6.3905244,3.5705547,7.645651,5.6944003,4.7983212,2.7959876
3,10125,el,,,0,0,0,1,1,0,0,-0.24882315,12.309656,2.899444,6.909356,12.587347,4.8886027,6.7112784,6.023471,2.3013113,3.508474,5.9481363,11.5580015,5.7617874,5.393579,6.5654907
3,11284,pro,,,0,0,0,1,0,0,0,3.2116935,3.0249975,5.165849,8.401518,3.4758613,0.91659063,9.028988,3.2995276,4.0373654,1.011817,7.0455065,8.458083,3.5022392,3.6569545,7.9182878
3,77993,##greso,,,0,0,0,0,1,0,0,2.4772446,5.2715244,4.232646,8.293832,4.2319903,6.0351048,3.761193,3.1428435,5.1249843,3.969266,4.581949,4.6761694,6.0048594,1.9535793,5.767045
3,25507,realizado,,,0,0,0,1,1,0,0,3.0401344,4.8409066,5.34945,6.5090795,4.523202,5.245032,5.614731,3.1834674,4.6980944,4.0189633,5.1510005,4.399701,4.917253,2.1934822,5.304443
3,10402,entre,,,0,0,0,1,1,0,0,3.0832143,8.868171,10.503885,9.532787,8.96413,1.8602078,8.042251,7.3449855,6.079437,0.63898927,4.963182,2.4234915,4.6832047,-1.1736296,6.6785617
3,11573,nos,,,0,0,0,1,0,0,0,2.0026028,7.0201745,6.197694,4.3578877,6.683697,5.70684,2.1462681,10.486928,7.2439146,9.225079,0.16170575,-0.5596187,2.6284087,8.299104,2.634819
3,96376,##otros,,,0,0,0,0,1,0,0,10.26041,5.4517655,3.6558816,4.2626276,4.709181,5.654104,-0.32019573,7.92338,6.874963,5.282561,4.3399262,4.3330617,5.36804,5.2718334,2.6545446
3,11573,nos,,,0,0,0,1,1,0,0,2.0026035,7.0201716,6.197692,4.3578887,6.6836944,5.70684,2.1462703,10.486921,7.2439117,9.225073,0.16171189,-0.5596147,2.62841,8.299098,2.634821
3,10228,ha,,,0,0,0,1,1,0,0,0.77217513,3.2611666,3.867066,1.0512211,2.1096034,6.4725285,0.6316849,-0.036626842,2.4129636,1.6499345,10.041483,8.187392,5.2119474,2.783586,-1.0989101
3,19614,hecho,,,0,0,0,1,1,0,0,2.9619646,4.723362,5.166253,6.3159966,4.7274275,5.1715326,5.529847,3.2802064,4.6790657,3.9632058,5.2762623,4.45072,4.822841,2.264741,5.347077
3,10543,más,,,0,0,0,1,1,0,0,5.5161204,8.782052,6.540965,-1.884463,9.976227,3.3331933,10.273567,3.3963616,3.9632697,6.8814363,4.309831,3.2241578,4.9549594,1.6675181,9.63495
3,107149,dichos,,,0,0,0,1,0,0,0,-0.60682756,3.203831,4.4554768,2.778526,10.482413,2.5960233,9.198997,2.7744684,3.779202,2.3168633,4.672888,5.8956723,0.23483865,1.1656312,4.8409743
3,10310,##os,,",",0,0,0,0,1,0,4,5.9676914,-1.74822,6.307978,1.2396319,8.544072,5.5773153,3.7045705,1.8827718,8.046945,6.9310727,5.948498,7.676575,4.4114313,10.03154,1.0624527
3,183,o,,,0,0,0,1,1,0,0,-4.737336,10.142673,5.7438293,1.9886199,8.55887,6.0289884,2.5811775,0.5756381,2.3674307,1.9338386,4.6512733,7.6702356,5.638853,10.839522,4.940465
3,10294,si,,,0,0,0,1,1,0,0,-0.48348847,7.8622503,4.4716353,-2.4546316,-1.6720747,3.8093317,3.8564594,0.107897714,4.1872134,6.3892417,3.5718484,7.644372,5.693104,4.7996287,2.7946754
3,10173,con,,,0,0,0,1,1,0,0,3.4500997,4.7787237,3.5687115,7.0124016,-0.28724533,2.6786375,7.3002415,7.244682,3.1750336,6.2556777,5.5273056,3.3778777,0.86621946,7.2071896,-3.7505035
3,14370,él,,,0,0,0,1,1,0,0,6.660426,6.869128,0.46217164,5.2316713,4.2020416,4.348793,4.9553227,1.2898126,10.088947,6.9731836,5.905391,13.0436735,1.8234828,1.1545649,7.1380086
3,193,y,,,0,0,0,1,1,0,0,4.508001,5.925952,6.950273,-0.9531033,10.465476,1.9607095,-0.3900614,-1.882495,4.9238167,5.7924356,4.407049,1.5890701,1.4383216,1.9328302,3.6319191
3,10183,por,,,0,0,0,1,1,0,0,2.2642746,5.5490837,-0.8338592,5.124337,4.9359055,10.886105,5.976063,0.87457854,4.987049,5.825963,9.599457,4.706914,7.696468,11.44998,4.869015
3,10198,su,,,0,0,0,1,1,0,0,0.25788546,3.9701574,2.7441814,8.164112,6.0021696,4.041494,4.6023045,3.954117,7.4225,10.321814,-1.2912171,5.305412,5.527809,0.4492869,11.384922
3,12787,causa,,",",0,0,0,1,1,0,4,4.8229284,8.385258,4.6280937,6.1626472,4.7767663,4.469727,6.3697553,0.30398485,5.7537365,10.317874,2.1399868,8.218436,4.51087,6.1988125,0.37050474
3,10181,som,,,0,0,0,1,0,0,0,8.12707,7.420552,-0.2819747,2.0799093,7.4342766,7.9051046,5.8829412,4.126321,-0.28872934,6.119978,1.02315,1.3046821,3.1621242,6.274019,9.029362
3,10310,##os,,,0,0,0,0,1,0,0,5.9755907,-1.7437158,6.3001876,1.2318373,8.536105,5.5852585,3.7119138,1.8753573,8.04049,6.923184,5.940705,7.670191,4.410451,10.025567,1.0696925
3,10543,más,,,0,0,0,1,1,0,0,5.5101585,8.788833,6.547092,-1.8813589,9.969745,3.338895,10.280879,3.3917298,3.9685206,6.877111,4.303748,3.2210898,4.9574413,1.6613106,9.641741
3,10106,in,,,0,0,0,1,0,0,0,3.8538094,-0.2664594,7.230657,5.1000476,1.658041,8.425072,1.3034259,7.067475,5.9601607,4.3297105,2.9765337,2.1636739,10.265748,6.4917517,1.6110723
3,22086,##fel,,,0,0,0,0,0,0,0,6.034738,0.43926483,3.5252647,5.7184696,7.55501,3.6973743,2.649037,1.0737894,2.0342667,3.1163285,4.0188475,1.9148022,4.6698666,2.9126375,5.560963
3,39801,##ices,,.,0,0,1,0,1,0,3,0.7628799,1.2819113,2.4804327,1.7620876,10.107877,2.521609,5.462472,4.600321,4.611344,3.532044,3.1835449,5.54602,4.391966,5.9053235,4.23478
4,10196,es,,,1,1,0,1,1,0,0,5.1115503,5.253362,6.296149,3.780804,12.436602,4.9406056,5.0095406,3.17199,6.5360184,0.69543654,3.6511376,3.9040332,6.3519564,-2.5481699,11.262292
4,33478,ach,,,0,0,0,1,0,0,0,5.928791,1.4437965,2.106179,6.8542814,4.0642962,2.0398874,7.48965,3.042013,11.344239,2.4892778,9.1104765,7.366217,0.45030117,1.083309,8.766644
4,74103,##aque,,,0,0,0,0,1,0,0,0.7367263,1.6972412,2.0429885,1.8260093,9.729099,2.7794044,6.1035023,5.1916184,4.036466,3.542787,3.3440747,5.921656,4.0765243,5.425206,3.94332
4,10104,de,,,0,0,0,1,1,0,0,10.873158,0.84934396,7.921911,7.043695,4.131614,1.978871,10.052236,0.97717506,7.4238276,7.3235335,7.8820844,3.3094916,4.010907,4.47963,5.187045
4,89775,viejo,,,0,0,0,1,0,0,0,2.2540698,5.4307404,3.8270476,8.151717,4.104162,6.801813,3.6467578,4.074719,4.7482705,4.2625294,4.837261,4.4958863,5.0745034,1.8931004,6.2006736
4,10107,##s,,",",0,0,0,0,1,0,4,2.9156399,4.503837,4.243298,4.606924,5.2615523,4.6934376,7.25826,3.2576528,13.257284,4.0886188,3.9521198,-0.46684653,6.463394,9.322223,8.173395
4,193,y,,,0,0,0,1,1,0,0,4.482703,5.8508277,6.9045277,-0.90121746,10.430556,1.9939526,-0.36819082,-1.9491186,5.0398264,5.968102,4.4932237,1.5784837,1.5723207,2.0534952,3.576734
4,13672,yo,,,0,0,0,1,1,0,0,5.2827735,4.7853513,1.5319144,-1.0017793,1.7372664,4.7230544,-1.5207313,-0.42753735,5.0069003,9.754717,5.7188296,6.2541194,6.961481,4.8911815,9.282861
4,10406,lo,,,0,0,0,1,1,0,0,0.067311525,8.584823,1.8424368,2.5363295,4.107989,8.238836,6.243967,2.9976418,4.5040236,8.412565,5.715885,14.057109,3.9536684,6.5354,4.799031
4,103559,soy,,,0,0,0,1,1,0,0,4.19293,4.1607065,5.232094,6.3670545,5.745874,4.097584,7.081267,3.769928,5.4930944,4.674995,4.437694,3.0539005,3.9572065,2.1085484,5.4362383
